,date,open,high,low,close,volume
0,2019-01-01,3693.85,3845.46,3629.66,3823.44,5149.60627729
1,2019-01-02,3825.41,3918.67,3770.0,3885.87,5534.46951453
2,2019-01-03,3890.27,3893.4,3760.0,3787.81,4803.2461092
3,2019-01-04,3785.64,3850.33,3732.38,3817.71,7452.05894356
4,2019-01-05,3822.0,3887.09,3780.0,3791.84,3656.37531439
5,2019-01-06,3795.38,4090.0,3753.0,4040.71,5400.71486407
6,2019-01-07,4040.71,4070.0,3964.01,4005.45,7445.09600426
7,2019-01-08,4005.0,4112.0,3934.73,3994.9,11819.98676966
8,2019-01-09,3994.75,4060.0,3948.44,4002.13,7390.13399203
9,2019-01-10,4003.09,4036.22,3503.44,3627.51,16118.42088248
10,2019-01-11,3627.65,3704.6,3569.85,3632.02,10571.08164263
11,2019-01-12,3631.0,3650.35,3557.09,3617.13,3184.35219414
12,2019-01-13,3617.75,3654.02,3476.0,3515.95,5908.52280454
13,2019-01-14,3517.03,3714.0,3506.0,3664.28,9925.99072165
14,2019-01-15,3664.28,3687.02,3534.68,3576.93,8059.8173777
15,2019-01-16,3576.92,3669.0,3570.48,3605.91,7675.06606371
16,2019-01-17,3609.5,3660.0,3534.25,3638.01,7499.52552971
17,2019-01-18,3638.01,3641.9,3577.0,3609.21,5023.5102908
18,2019-01-19,3609.29,3774.0,3602.6,3681.0,4080.88346413
19,2019-01-20,3680.0,3703.27,3470.0,3536.72,5591.01583422
20,2019-01-21,3537.42,3573.29,3485.58,3531.51,5821.89983137
21,2019-01-22,3531.51,3615.8,3401.36,3576.81,6877.0636755
22,2019-01-23,3574.44,3620.23,3518.0,3552.32,6170.84267224
23,2019-01-24,3553.2,3598.0,3524.0,3570.73,4488.01463801
24,2019-01-25,3570.67,3578.79,3511.0,3560.0,4961.79512299
25,2019-01-26,3560.94,3657.89,3536.51,3555.56,2697.88387935
26,2019-01-27,3555.31,3564.12,3456.0,3533.23,3852.6596409
27,2019-01-28,3532.23,3536.77,3357.3,3429.5,10345.1009104
28,2019-01-29,3431.43,3438.76,3322.19,3390.5,7284.38686266
29,2019-01-30,3391.25,3465.05,3372.34,3437.35,5704.02340186
30,2019-01-31,3438.0,3474.2,3392.6,3413.11,5951.8181698
31,2019-02-01,3413.69,3460.0,3364.53,3434.83,6659.84752495
32,2019-02-02,3434.83,3485.0,3406.38,3462.82,3051.95860768
33,2019-02-03,3470.5,3476.33,3384.67,3414.82,2813.89222442
34,2019-02-04,3413.75,3439.46,3394.85,3410.87,3244.08497898
35,2019-02-05,3409.81,3435.0,3396.0,3431.39,4045.62530164
36,2019-02-06,3431.81,3445.6,3328.7,3364.62,6137.40639817
37,2019-02-07,3364.0,3383.29,3350.0,3359.33,4293.5558141
38,2019-02-08,3358.39,3711.04,3337.91,3622.94,14388.64754224
39,2019-02-09,3626.12,3639.74,3589.52,3622.62,4054.50461695
40,2019-02-10,3622.74,3662.43,3576.16,3650.37,4155.50568273
41,2019-02-11,3651.32,3652.56,3578.7,3588.7,7931.40887407
42,2019-02-12,3588.99,3619.93,3548.28,3585.94,10074.81670532
43,2019-02-13,3585.7,3629.81,3541.0,3574.93,7992.74321134
44,2019-02-14,3575.01,3590.74,3531.01,3560.46,5910.24312876
45,2019-02-15,3560.45,3620.53,3544.88,3566.29,6234.76805726
46,2019-02-16,3566.29,3609.0,3561.96,3579.92,3442.47630393
