Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01 00:00:00+05:30,107.93175533713293,109.95547574970416,107.25718186627584,109.11225891113281,659631,0.0,0.0
2002-07-02 00:00:00+05:30,108.64007812807753,110.19159943514316,107.93177380385453,108.20159912109375,282660,0.0,0.0
2002-07-03 00:00:00+05:30,108.60632291550192,109.2808963497597,107.1559941491172,107.79683685302734,500553,0.0,0.0
2002-07-04 00:00:00+05:30,107.35834342299495,108.5388467732649,106.24530152429509,106.58258819580078,284181,0.0,0.0
2002-07-05 00:00:00+05:30,106.61633181728241,107.76310458047433,105.97548912254342,106.27904510498047,252587,0.0,0.0
2002-07-08 00:00:00+05:30,106.34649533418857,110.866145473737,106.34649533418857,110.32648468017578,587271,0.0,0.0
2002-07-09 00:00:00+05:30,111.16972118788578,111.9792073753375,108.33651438521714,108.5726089477539,986722,0.0,0.0
2002-07-10 00:00:00+05:30,108.70749833551203,109.21342838105708,107.12225703537473,108.13411712646484,397472,0.0,0.0
2002-07-11 00:00:00+05:30,108.47140098938053,109.2134255275553,106.24530678851049,106.65005493164062,332974,0.0,0.0
2002-07-12 00:00:00+05:30,108.06664094298158,108.06664094298158,106.27902580959932,106.5488510131836,148772,0.0,0.0
2002-07-15 00:00:00+05:30,106.75122637965957,106.75122637965957,103.95175125853598,104.49140167236328,268573,0.0,0.0
2002-07-16 00:00:00+05:30,105.23346098093853,105.23346098093853,101.5570376399188,102.36652374267578,1001444,0.0,0.0
2002-07-17 00:00:00+05:30,102.09670028272842,102.26534365267467,99.97178764550104,100.68009185791016,600910,0.0,0.0
2002-07-18 00:00:00+05:30,100.27534160111409,101.86059336344401,100.27534160111409,101.18601989746094,422730,0.0,0.0
2002-07-19 00:00:00+05:30,101.7594247256977,101.86060664151506,100.91620778330105,101.3209457397461,332233,0.0,0.0
2002-07-22 00:00:00+05:30,101.25347679639107,101.25347679639107,95.78942785100108,96.26162719726562,585861,0.0,0.0
2002-07-23 00:00:00+05:30,96.46398028127985,97.47584021430026,94.44026041523901,95.75567626953125,490268,0.0,0.0
2002-07-24 00:00:00+05:30,95.78941651301568,95.78941651301568,91.50587158688997,92.78756713867188,664749,0.0,0.0
2002-07-25 00:00:00+05:30,94.44027873020916,94.60892208508453,91.06741163270169,92.01181030273438,887369,0.0,0.0
2002-07-26 00:00:00+05:30,91.06739776220765,93.36094292191298,90.15671966731679,92.34908294677734,788742,0.0,0.0
2002-07-29 00:00:00+05:30,93.3609843861596,93.3609843861596,89.21236076285147,91.30354309082031,618561,0.0,0.0
2002-07-30 00:00:00+05:30,91.20234015130013,93.05741737820341,89.81946234170083,90.35912322998047,760305,0.0,0.0
2002-07-31 00:00:00+05:30,88.77389651884214,90.39286916269421,87.22237506413065,89.54965209960938,521095,0.0,0.0
2002-08-01 00:00:00+05:30,89.85317807809616,90.93249967448548,87.96437043100163,88.26793670654297,219736,0.0,0.0
